,rank,bgg_id,page_views,af,af_rank,als,als_rank,am,am_rank,an,an_rank,ang,ang_rank,ar,ar_rank,arc,arc_rank,arz,arz_rank,ast,ast_rank,az,az_rank,azb,azb_rank,ba,ba_rank,bar,bar_rank,bcl,bcl_rank,be,be_rank,bg,bg_rank,bh,bh_rank,bjn,bjn_rank,bn,bn_rank,bo,bo_rank,br,br_rank,bs,bs_rank,bxr,bxr_rank,ca,ca_rank,cdo,cdo_rank,ce,ce_rank,ckb,ckb_rank,cs,cs_rank,cv,cv_rank,cy,cy_rank,da,da_rank,de,de_rank,dsb,dsb_rank,dv,dv_rank,el,el_rank,eml,eml_rank,en,en_rank,eo,eo_rank,es,es_rank,et,et_rank,eu,eu_rank,fa,fa_rank,fi,fi_rank,fo,fo_rank,fr,fr_rank,frp,frp_rank,frr,frr_rank,fy,fy_rank,ga,ga_rank,gan,gan_rank,gd,gd_rank,gl,gl_rank,gu,gu_rank,hak,hak_rank,haw,haw_rank,he,he_rank,hi,hi_rank,hif,hif_rank,hr,hr_rank,hsb,hsb_rank,ht,ht_rank,hu,hu_rank,hy,hy_rank,hyw,hyw_rank,ia,ia_rank,id,id_rank,ie,ie_rank,ilo,ilo_rank,io,io_rank,is,is_rank,it,it_rank,ja,ja_rank,jam,jam_rank,jbo,jbo_rank,jv,jv_rank,ka,ka_rank,kk,kk_rank,kn,kn_rank,ko,ko_rank,ku,ku_rank,ky,ky_rank,la,la_rank,lb,lb_rank,lez,lez_rank,lfn,lfn_rank,li,li_rank,lt,lt_rank,lv,lv_rank,mai,mai_rank,mg,mg_rank,min,min_rank,mk,mk_rank,ml,ml_rank,mn,mn_rank,mr,mr_rank,ms,ms_rank,mwl,mwl_rank,my,my_rank,nah,nah_rank,nds,nds_rank,ne,ne_rank,new,new_rank,nl,nl_rank,nn,nn_rank,no,no_rank,nov,nov_rank,nrm,nrm_rank,nso,nso_rank,oc,oc_rank,olo,olo_rank,or,or_rank,os,os_rank,pa,pa_rank,pcd,pcd_rank,pih,pih_rank,pl,pl_rank,pnb,pnb_rank,ps,ps_rank,pt,pt_rank,qu,qu_rank,rm,rm_rank,ro,ro_rank,ru,ru_rank,rue,rue_rank,sa,sa_rank,sah,sah_rank,sat,sat_rank,sc,sc_rank,scn,scn_rank,sco,sco_rank,se,se_rank,sh,sh_rank,si,si_rank,sk,sk_rank,sl,sl_rank,so,so_rank,sq,sq_rank,sr,sr_rank,stq,stq_rank,su,su_rank,sv,sv_rank,sw,sw_rank,szl,szl_rank,ta,ta_rank,tcy,tcy_rank,te,te_rank,tg,tg_rank,th,th_rank,tk,tk_rank,tl,tl_rank,tr,tr_rank,tt,tt_rank,tyv,tyv_rank,uk,uk_rank,ur,ur_rank,uz,uz_rank,vec,vec_rank,vep,vep_rank,vi,vi_rank,vls,vls_rank,vo,vo_rank,wa,wa_rank,war,war_rank,wo,wo_rank,wuu,wuu_rank,xal,xal_rank,xh,xh_rank,xmf,xmf_rank,yi,yi_rank,za,za_rank,zh,zh_rank
20,21,5072,11459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,19,,,,,199,2,,,,,,,,,14,29,,,,,,,,,,,,,108,8,396,50,,,,,,,,,7495,10,7,17,84,73,,,,,45,17,,,,,267,47,,,,,,,,,,,,,,,50,2,,,,,,,904,2,,,,,,,,,,,,,,,,,150,9,,,,,,,,,95,72,479,19,,,,,,,,,,,,,39,24,,,,,,,,,,,,,,,,,,,,,,,38,1,,,52,2,,,417,2,75,4,,,,,,,,,,,,,37,67,7,9,101,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,57,,,,,,,,,,,,,,,,,,,23,2,,,,,,,,,,,,,,,38,40,,,,,177,2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,61
21,22,2136,10364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,7,,,,,,,,,,,,,,,,,,,,,,,259,7,,,,,,,2195,9,,,,,,,,,3519,24,4,27,191,46,,,,,817,4,,,,,325,43,,,,,,,,,,,,,,,,,,,,,,,,,,,99,10,,,,,142,12,9,8,,,,,,,,,,,,,,,406,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,881,7,,,,,,,,,,,,,,,,,,,,,,,,,766,8,,,,,,,,,,,,,78,64,,,,,,,,,,,,,,,,,10,7,,,97,5,,,,,8,2,,,2,3,,,328,7,,,,,,,,,,,,,,,,,,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,50
22,23,3886,9407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,6,,,,,,,,,,,,,,,13,32,,,,,,,156,10,,,,,59,14,2465,8,,,,,,,,,1904,50,10,9,377,36,20,13,9,15,99,11,126,14,,,373,41,,,,,5,3,,,,,,,,,,,,,,,23,38,,,,,,,,,,,419,3,,,,,,,,,,,,,,,,,1019,8,111,51,,,,,,,,,,,,,45,21,,,,,,,9,2,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,37,3,16,55,13,,,,,,,,,,,,,,,,,,,,,175,23,,,,,835,6,,,,,151,3,160,42,,,,,,,,,,,,,,,,,,,,,48,10,12,14,,,,,260,3,,,,,67,29,,,,,,,,,,,,,,,,,,,22,20,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,47
23,24,4192,7760,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,,,,,,,48,23,,,,,40,21,987,22,,,,,,,,,3624,23,,,184,48,,,,,,,28,43,,,255,48,,,,,,,,,,,,,7,4,,,,,,,20,44,,,,,,,,,,,57,23,,,,,,,,,,,,,,,,,493,21,423,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,30,,,,,,,,,,,,,,,,,,,,,,,,,100,32,,,,,,,,,,,,,1103,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,30,,,,,,,,,,,,,,,,,,,,,,,,,36,17,,,,,,,,,,,,,,,,,,,,,3,10,,,,,,,,,,,98,39
24,25,822,7556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,12,,,,,,,,,,,,,,,27,17,,,,,,,85,19,,,12,4,36,22,960,23,,,,,16,14,,,2450,35,9,11,446,31,,,,,,,115,20,,,421,37,,,,,,,,,,,,,,,,,,,,,40,31,,,,,,,,,,,98,14,,,,,,,,,,,,,,,,,376,28,286,28,,,,,,,,,,,,,51,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,18,11,7,42,18,,,,,,,,,,,,,,,,,,,,,231,21,,,,,164,27,,,,,,,816,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,18,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,,,,,,,,17,20,,,,,,,,,,,,,,,,,,,,,,,383,18
25,26,6819,7271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,17,3950,3,,,,,,,,,1514,63,3,39,105,63,,,,,,,28,44,,,237,52,,,,,,,,,,,,,,,,,,,,,22,41,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,245,39,99,55,,,,,,,,,,,,,16,75,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,,,,,94,40,,,9,36,,,,,,,,,,,,,,,,,,,,,480,10,,,,,39,50,,,,,,,153,45,,,,,,,,,,,,,,,,,,,,,17,16,,,,,,,,,,,,,47,37,,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,51
26,27,2392,6680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,10,,,,,,,102,17,,,,,,,641,33,,,,,42,9,,,3134,27,,,259,40,,,36,4,149,8,56,31,,,588,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,25,,,,,,,,,,,,,,,,,327,31,262,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,20,,,28,25,,,,,,,,,,,,,,,,,,,,,327,18,,,,,135,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,13,,,,,,,28,12,,,,,84,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,33
27,28,2398,6380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,29,267,69,,,,,,,,,4972,17,3,37,164,50,,,,,,,26,45,,,463,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,46,,,,,,,,,,,,,,,,,,,,,,,,,29,55,,,,,,,,,,,,,169,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,55,,,,,,,,,,,,,,,,,,,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29,39856,6347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8,,,,,,,,,,,,,,,38,12,,,,,,,54,21,,,,,20,33,549,41,,,,,,,,,1577,59,,,1386,13,,,,,,,7,102,,,554,24,,,,,,,,,,,,,,,,,,,,,129,11,,,,,,,,,,,49,24,,,,,,,,,,,,,,,,,716,15,,,,,,,,,,,,,,,23,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,,,,,,,,,,,,,,,,,,,,,188,22,,,,,160,28,,,,,,,570,18,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,30
29,30,2719,6198,,,,,,,,,,,56,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,72,,,,,,,8,55,,,,,15,38,478,47,,,,,,,,,3948,21,5,20,255,41,8,19,,,,,23,49,,,454,32,,,,,,,,,,,,,,,,,,,,,84,18,,,,,,,,,,,18,35,,,,,,,,,,,,,,,,,278,33,,,,,,,,,,,,,,,36,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,52,,,,,,,,,,,,,,,,,,,,,,,,,36,50,,,,,,,,,,,,,188,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,34,,,,,,,,,,,,,,,,,,,,,,,,,16,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,27
30,31,2952,5880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,18,,,,,,,,,,,,,64,13,597,36,,,,,,,,,2810,30,,,576,25,,,43,3,,,116,19,,,611,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,18,,,,,,,3,11,389,27,29,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,25,,,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,106,35,,,,,,,90,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32,18011,5849,,,,,,,,,,,47,14,,,,,,,,,,,,,,,,,6,5,,,,,,,34,4,,,,,,,,,19,24,,,,,,,29,28,,,,,,,153,104,,,,,,,,,2577,33,4,30,763,22,19,14,3,18,,,11,77,,,128,83,,,,,,,,,,,,,,,,,,,,,28,34,103,4,,,12,15,,,,,15,40,,,,,,,23,16,,,,,,,,,98,71,632,16,,,,,,,,,4,3,,,47,20,,,,,,,3,3,,,,,,,,,,,5,2,,,,,,,13,3,,,,,16,9,,,,,,,,,,,,,60,54,5,14,9,37,,,,,,,,,,,,,,,,,,,,,68,35,,,,,233,22,,,,,,,405,24,,,,,,,,,,,,,,,,,6,9,15,3,18,15,,,,,,,,,,,,,25,51,,,,,9,7,,,,,,,,,,,,,16,26,,,,,14,31,,,18,2,,,,,93,10,,,,,,,,,,,5,8,,,,,,,,,,,58,54
32,33,11733,5713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,93,,,,,,,9,2,1399,68,,,,,,,,,,,,,,,280,46,,,,,,,,,,,,,,,,,,,,,,,,,,,369,1,,,,,19,34,,,,,,,,,,,,,,,,,3232,3,59,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,93,4,,,,,48,10,,,,,6,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34,2921,5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,51,,,,,,,,,,,,,,,385,53,,,,,,,,,3452,25,,,,,,,,,,,,,,,178,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1196,12,,,,,,,,,,,,,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35,28,5633,,,,,,,,,,,154,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,106,,,,,,,,,1441,65,,,386,35,,,,,,,19,51,,,133,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,12,,,,,,,,,123,59,2816,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,47,,,,,,,,,,,,,,,,,,,64,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36,2386,5557,,,,,,,,,,,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,37,,,,,,,28,29,,,,,23,31,210,83,,,,,,,,,2069,47,4,28,1464,11,,,,,,,47,32,,,423,36,,,,,,,,,,,,,,,,,,,,,56,25,,,,,,,,,,,21,32,,,,,,,,,,,,,,,,,272,35,,,,,,,,,,,,,,,49,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,57,12,,,,,,,,,,,,,,,,,,,,,54,40,,,,,119,33,,,,,,,2,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,22,,,,,,,,,,,,,33,11,,,,,,,,,,,9,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,482,14
36,37,5432,5465,,,,,,,,,,,75,10,,,10,2,,,,,,,,,,,,,,,24,16,,,,,49,3,,,,,,,,,,,,,,,,,,,,,,,,,259,71,,,,,,,,,1748,54,,,921,18,,,,,157,7,24,47,,,151,70,,,,,,,,,,,,,,,18,4,,,,,56,26,309,3,,,,,,,,,,,,,,,,,259,6,,,,,,,,,200,43,100,54,,,,,,,,,,,,,31,34,,,,,,,,,,,,,,,,,19,9,,,,,,,,,12,5,,,47,3,,,,,,,,,,,,,,,105,38,14,4,27,26,,,,,,,,,,,,,,,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,49,,,,,55,3,,,48,2,,,603,2,,,,,,,,,,,27,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,42
37,38,1258,5054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,33,,,,,,,721,31,,,,,,,,,4257,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,39,1917,4922,,,,,,,,,,,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,34,,,,,,,14,38,,,,,57,15,322,61,,,,,,,,,2648,32,3,36,246,42,,,6,16,116,10,19,52,,,324,44,,,,,,,,,,,,,,,,,,,,,88,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,70,,,,,,,,,,,,,,,40,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,10,,,20,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,50,,,,,,,,,,,,,,,,,,,,,7,23,,,,,,,,,,,,,45,38,,,,,,,,,,,,,,,,,,,,,,,,,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,43
39,40,2785,4658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,3,,,,,,,,,,,,,6,59,184,94,,,,,,,,,508,146,5,21,2145,6,,,12,12,,,9,85,,,504,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,20,33,90,,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511,13,,,,,,,,,,,,,,,,,,,,,5,1,,,26,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,19,117
40,41,2407,4586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,170,,,,,,,,,4412,18,,,94,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,13713,4558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,42,,,,,,,,,,,,,43,20,829,28,,,,,,,,,1178,79,,,410,32,,,12,13,,,67,29,,,653,19,,,,,,,,,,,,,,,,,,,,,22,42,,,,,,,,,,,16,38,,,,,,,,,,,,,6,5,,,263,36,246,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,59,,,,,,,,,,,,,,,,,,,,,,,,,87,33,,,,,346,14,,,,,,,128,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,,,,,,,,,,,,,,,,,,,23,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,32
42,43,1111,4211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36,,,,,,,,,,,,,,,573,40,,,,,52,8,,,2236,42,,,516,28,,,,,,,,,,,122,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,44,188834,4181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,34,,,,,,,,,3312,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,36218,4041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,,,,,,,27,30,,,,,8,52,860,26,,,,,,,,,1910,49,,,49,96,,,,,,,31,41,,,193,56,,,,,,,,,,,,,,,,,,,,,27,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,101,596,17,,,,,,,,,,,,,30,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,50,,,16,29,,,,,,,,,,,,,,,,,,,,,26,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,40
45,46,9209,3915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,66,,,,,,,,,,,,,28,27,318,62,,,,,,,,,2367,37,,,107,62,,,,,4,26,76,28,,,7,396,,,,,,,,,,,,,,,,,,,,,15,46,,,,,,,,,,,14,42,,,,,,,,,,,,,,,,,237,40,152,44,,,,,,,,,,,,,18,63,,,,,,,,,,,,,,,,,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,34,4,15,55,14,,,,,,,,,,,,,,,,,,,,,139,28,,,,,,,,,,,,,138,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,26,,,,,,,,,,,,,6,18,,,,,,,,,,,,,,,,,,,,,17,21,,,,,,,,,,,,,,,,,,,,,,,,
46,47,3955,3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,65,,,,,,,198,9,,,,,,,94,148,,,,,,,,,1365,69,,,335,37,,,,,,,,,,,382,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,20,,,,,,,,,,,,,,,,,762,14,,,,,,,,,,,,,,,141,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,65,,,,,,,,,,,,,181,37,,,,,,,,,,,,,,,,,,,,,121,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,24
47,48,1269,3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427,16,,,,,,,,,1522,62,,,,,,,,,,,398,6,,,75,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,2086,3796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579,38,,,,,,,,,489,153,,,919,19,,,,,,,,,,,36,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,58,757,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,36,,,,,,,268,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,20
49,50,2399,3661,,,,,,,,,,,36,16,,,,,,,9,6,,,,,,,,,,,13,18,,,,,,,,,5,7,,,,,15,28,,,,,,,19,34,,,,,,,131,116,,,,,29,12,,,1607,57,8,15,405,34,,,,,10,23,10,82,,,186,57,,,,,,,,,,,,,,,,,,,,,48,29,,,,,,,,,,,33,27,,,,,,,,,,,,,,,,,135,57,191,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,58,,,,,,,,,,,7,3,,,,,,,,,,,,,49,44,,,,,120,32,,,,,9,13,335,26,,,,,,,,,,,,,,,,,,,8,5,16,17,,,,,,,,,,,,,20,57,,,,,,,,,,,,,,,,,,,20,23,,,,,,,,,,,,,,,28,16,,,,,,,,,,,,,,,,,,,,,,,106,37
50,51,178900,3652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,47,,,,,,,42,26,,,,,,,304,65,,,,,,,,,2552,34,,,,,,,,,,,,,,,140,76,,,,,,,,,,,,,,,,,,,,,76,20,,,,,,,,,,,15,41,,,,,,,,,,,,,,,,,137,56,110,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,71,,,,,,,,,,,,,,,,,,,,,,,,,59,37,,,,,,,,,,,,,160,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,2281,3625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,26,,,,,,,,,,,,,,,,,,,,,,,,,2264,41,,,866,20,,,,,,,,,,,226,54,,,,,,,,,,,,,,,,,,,,,34,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
